proteinID,geneID
H17B6_HUMAN,HSD17B6
CHK1_HUMAN,CHEK1
TR10B_HUMAN,TNFRSF10B
GBRD_HUMAN,GABRD
MEIS2_HUMAN,MEIS2
ZN213_HUMAN,ZNF213
FPGT_HUMAN,FPGT
TPP1_HUMAN,TPP1
GNB5_HUMAN,GNB5
TCRG1_HUMAN,TCERG1
NDC80_HUMAN,NDC80
KIF3C_HUMAN,KIF3C
NRP1_HUMAN,NRP1
TNPO2_HUMAN,TNPO2
TNF11_HUMAN,TNFSF11
APOL1_HUMAN,APOL1
HS3S1_HUMAN,HS3ST1
GDF8_HUMAN,MSTN
UN13B_HUMAN,UNC13B
SH21B_HUMAN,SH2D1B
TR10C_HUMAN,TNFRSF10C
RPC1_HUMAN,POLR3A
RASM_HUMAN,MRAS
CPLX1_HUMAN,CPLX1
PHX2A_HUMAN,PHOX2A
CAN9_HUMAN,CAPN9
TSN4_HUMAN,TSPAN4
PSA7_HUMAN,PSMA7
RGRF2_HUMAN,RASGRF2
SCAM3_HUMAN,SCAMP3
PPE1_HUMAN,PPEF1
PPE2_HUMAN,PPEF2
PAHX_HUMAN,PHYH
TR13B_HUMAN,TNFRSF13B
OPLA_HUMAN,OPLAH
FFAR1_HUMAN,FFAR1
FFAR3_HUMAN,FFAR3
AIM2_HUMAN,AIM2
ZNT4_HUMAN,SLC30A4
BACH1_HUMAN,BACH1
BCKD_HUMAN,BCKDK
IFIT3_HUMAN,IFIT3
MGST3_HUMAN,MGST3
GEMI2_HUMAN,GEMIN2
T4S5_HUMAN,TM4SF5
IRF6_HUMAN,IRF6
KLF11_HUMAN,KLF11
WNT9A_HUMAN,WNT9A
WNT9B_HUMAN,WNT9B
TX1B3_HUMAN,TAX1BP3
GIPC1_HUMAN,GIPC1
LIN7A_HUMAN,LIN7A
PCD17_HUMAN,PCDH17
IKKB_HUMAN,IKBKB
RGS12_HUMAN,RGS12
TIM23_HUMAN,TIMM23
FSCN2_HUMAN,FSCN2
HAT1_HUMAN,HAT1
NCTR3_HUMAN,NCR3
UB2L6_HUMAN,UBE2L6
CSKP_HUMAN,CASK
PLD2_HUMAN,PLD2
EREG_HUMAN,EREG
TFEC_HUMAN,TFEC
QCR8_HUMAN,UQCRQ
ML12B_HUMAN,MYL12B
QCR10_HUMAN,UQCR11
CASQ2_HUMAN,CASQ2
LECT2_HUMAN,LECT2
HGS_HUMAN,HGS
AURKA_HUMAN,AURKA
RAB7L_HUMAN,RAB29
CLGN_HUMAN,CLGN
VP26C_HUMAN,VPS26C
MYPT1_HUMAN,PPP1R12A
S27A2_HUMAN,SLC27A2
GAK_HUMAN,GAK
AZIN1_HUMAN,AZIN1
ZN263_HUMAN,ZNF263
HNRDL_HUMAN,HNRNPDL
XPO1_HUMAN,XPO1
BTAF1_HUMAN,BTAF1
AT2A1_HUMAN,ATP2A1
PI51B_HUMAN,PIP5K1B
SYN3_HUMAN,SYN3
ARHGA_HUMAN,ARHGEF10
ZN609_HUMAN,ZNF609
ZN646_HUMAN,ZNF646
PDZD2_HUMAN,PDZD2
SPTN2_HUMAN,SPTBN2
MAST4_HUMAN,MAST4
SC16A_HUMAN,SEC16A
PLXB2_HUMAN,PLXNB2
AREL1_HUMAN,AREL1
TCPR2_HUMAN,TECPR2
SEM3E_HUMAN,SEMA3E
SR140_HUMAN,U2SURP
SET1A_HUMAN,SETD1A
N4BP3_HUMAN,N4BP3
KDM6B_HUMAN,KDM6B
PER2_HUMAN,PER2
SYNJ2_HUMAN,SYNJ2
ZBT39_HUMAN,ZBTB39
SYNEM_HUMAN,SYNM
ZBTB5_HUMAN,ZBTB5
KIF3B_HUMAN,KIF3B
PUR4_HUMAN,PFAS
MCF2L_HUMAN,MCF2L
ATS3_HUMAN,ADAMTS3
DCLK1_HUMAN,DCLK1
CE290_HUMAN,CEP290
SNPH_HUMAN,SNPH
ERC2_HUMAN,ERC2
ANR28_HUMAN,ANKRD28
ARHGB_HUMAN,ARHGEF11
MRPP3_HUMAN,PRORP
SMAD7_HUMAN,SMAD7
IKKA_HUMAN,CHUK
LSM1_HUMAN,LSM1
FYB1_HUMAN,FYB1
NPC1_HUMAN,NPC1
TBX3_HUMAN,TBX3
PLCB_HUMAN,AGPAT2
DEGS1_HUMAN,DEGS1
ANGP2_HUMAN,ANGPT2
SCAM1_HUMAN,SCAMP1
SCAM2_HUMAN,SCAMP2
NPFF_HUMAN,NPFF
IMA6_HUMAN,KPNA5
ARC1B_HUMAN,ARPC1B
ARPC2_HUMAN,ARPC2
ARPC3_HUMAN,ARPC3
MUSK_HUMAN,MUSK
MDM4_HUMAN,MDM4
BET1_HUMAN,BET1
ZBT7B_HUMAN,ZBTB7B
RPAC1_HUMAN,POLR1C
PLS1_HUMAN,PLSCR1
TIF1A_HUMAN,TRIM24
LRAD4_HUMAN,LDLRAD4
AXIN1_HUMAN,AXIN1
PGRC2_HUMAN,PGRMC2
TBXT_HUMAN,TBXT
CETN3_HUMAN,CETN3
CTDSL_HUMAN,CTDSPL
VILL_HUMAN,VILL
SMAD9_HUMAN,SMAD9
ADEC1_HUMAN,ADAMDEC1
UBD_HUMAN,UBD
ZBT22_HUMAN,ZBTB22
RGL2_HUMAN,RGL2
PFD6_HUMAN,PFDN6
GSTA4_HUMAN,GSTA4
NKRF_HUMAN,NKRF
GNPAT_HUMAN,GNPAT
KMO_HUMAN,KMO
LAMA5_HUMAN,LAMA5
ZN185_HUMAN,ZNF185
MATN3_HUMAN,MATN3
CASC3_HUMAN,CASC3
NDUA1_HUMAN,NDUFA1
VGF_HUMAN,VGF
OBRG_HUMAN,LEPROT
S22A2_HUMAN,SLC22A2
S22A1_HUMAN,SLC22A1
CLIC2_HUMAN,CLIC2
ACOX3_HUMAN,ACOX3
RER1_HUMAN,RER1
NPHP1_HUMAN,NPHP1
SURF4_HUMAN,SURF4
DFB4A_HUMAN,DEFB4A
MK13_HUMAN,MAPK13
ATX7_HUMAN,ATXN7
SHOX_HUMAN,SHOX
SPTC1_HUMAN,SPTLC1
SPTC2_HUMAN,SPTLC2
TELT_HUMAN,TCAP
FANCG_HUMAN,FANCG
OGT1_HUMAN,OGT
LX15B_HUMAN,ALOX15B
PPM1D_HUMAN,PPM1D
GRM6_HUMAN,GRM6
SIVA_HUMAN,SIVA1
PMM2_HUMAN,PMM2
RA51B_HUMAN,RAD51B
RPC7_HUMAN,POLR3G
INP4B_HUMAN,INPP4B
VA0E1_HUMAN,ATP6V0E1
TRI18_HUMAN,MID1
HMGB3_HUMAN,HMGB3
P73_HUMAN,TP73
FOXN1_HUMAN,FOXN1
GPR37_HUMAN,GPR37
PPM1G_HUMAN,PPM1G
SHIP2_HUMAN,INPPL1
FANCA_HUMAN,FANCA
SOX12_HUMAN,SOX12
EIF3D_HUMAN,EIF3D
EIF3H_HUMAN,EIF3H
MOT5_HUMAN,SLC16A4
HDAC3_HUMAN,HDAC3
NVL_HUMAN,NVL
BCAT2_HUMAN,BCAT2
SIGL5_HUMAN,SIGLEC5
TYY2_HUMAN,YY2
BIRC5_HUMAN,BIRC5
TMPS2_HUMAN,TMPRSS2
NCAM2_HUMAN,NCAM2
IPO8_HUMAN,IPO8
NMDE4_HUMAN,GRIN2D
STX7_HUMAN,STX7
TOX3_HUMAN,TOX3
FOXP2_HUMAN,FOXP2
MOT4_HUMAN,SLC16A3
COPT1_HUMAN,SLC31A1
MRP3_HUMAN,ABCC3
MRP4_HUMAN,ABCC4
MRP5_HUMAN,ABCC5
CCL25_HUMAN,CCL25
RPA34_HUMAN,POLR1G
TLR3_HUMAN,TLR3
MSH4_HUMAN,MSH4
P4HA2_HUMAN,P4HA2
SIA8E_HUMAN,ST8SIA5
CCL16_HUMAN,CCL16
MAGB2_HUMAN,MAGEB2
MAGB4_HUMAN,MAGEB4
CAN5_HUMAN,CAPN5
GLYG2_HUMAN,GYG2
RGS16_HUMAN,RGS16
PA2GX_HUMAN,PLA2G10
YKT6_HUMAN,YKT6
GSC2_HUMAN,GSC2
INSI1_HUMAN,INSIG1
NUP42_HUMAN,NUP42
ARPC5_HUMAN,ARPC5
RPB4_HUMAN,POLR2D
CLOCK_HUMAN,CLOCK
CFLAR_HUMAN,CFLAR
FGF10_HUMAN,FGF10
NKX28_HUMAN,NKX2
DDX3Y_HUMAN,DDX3Y
SOCS1_HUMAN,SOCS1
MAFG_HUMAN,MAFG
OGG1_HUMAN,OGG1
CP27B_HUMAN,CYP27B1
GPR42_HUMAN,GPR42
PDPK1_HUMAN,PDPK1
TPSN_HUMAN,TAPBP
PER1_HUMAN,PER1
ZSC9_HUMAN,ZSCAN9
XLRS1_HUMAN,RS1
FABP7_HUMAN,FABP7
